Bootes I          1.84977045 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          2.07206325 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          2.32106968 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          2.60000000 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Carina            0.01000000 15.3796 15.8774 16.5239 16.9322 17.3283 14.9785 15.0934 15.2282 15.3200 15.4378 2.278e-03 8.764e-03 3.778e-02 1.048e-01 2.285e-01 3.229e-04 5.445e-04 1.080e-03 2.277e-03 4.558e-03 
Carina            0.01120173 15.4736 15.9555 16.5748 16.9692 17.3668 15.0765 15.1880 15.3169 15.4052 15.5192 2.799e-03 1.043e-02 4.232e-02 1.146e-01 2.469e-01 4.015e-04 6.699e-04 1.330e-03 2.786e-03 5.550e-03 
Carina            0.01254788 15.5670 16.0336 16.6242 17.0060 17.4009 15.1740 15.2827 15.4057 15.4899 15.6017 3.455e-03 1.240e-02 4.739e-02 1.256e-01 2.666e-01 4.983e-04 8.239e-04 1.638e-03 3.400e-03 6.728e-03 
Carina            0.01405580 15.6602 16.1113 16.6734 17.0432 17.4352 15.2711 15.3768 15.4939 15.5748 15.6828 4.259e-03 1.470e-02 5.294e-02 1.372e-01 2.886e-01 6.168e-04 1.013e-03 2.013e-03 4.150e-03 8.136e-03 
Carina            0.01574493 15.7533 16.1870 16.7235 17.0792 17.4680 15.3680 15.4707 15.5815 15.6590 15.7625 5.259e-03 1.748e-02 5.958e-02 1.495e-01 3.096e-01 7.642e-04 1.244e-03 2.476e-03 5.058e-03 9.823e-03 
Carina            0.01763705 15.8437 16.2609 16.7726 17.1144 17.4998 15.4648 15.5646 15.6691 15.7429 15.8427 6.352e-03 2.065e-02 6.676e-02 1.627e-01 3.321e-01 9.468e-04 1.523e-03 3.041e-03 6.166e-03 1.183e-02 
